P	MPE	PE	TfS
FixS	0	2,7	3,98
FixT	0	4,39	3,87
TFix	3,05	3,61	3,88
FixS	0	1,37	2,36
FixT	0	3,11	3,09
TFix	1,77	2,29	2,74
FixS	0	1,64	2,34
FixT	0	3,79	2,68
TFix	2,21	2,82	2,5
