P	TfS	PE	MPE
CC	0,046	0,338	0,279
CD	0,084	0,307	0,293
DT	-0,011	0,389	0,33
IN	0,027	0,451	0,338
JJ	0,023	0,494	0,364
JJR	-0,125	0,516	0,419
JJS	0,174	0,391	0,136
MD	-0,029	0,714	0,687
NN	0,229	0,657	0,553
NNP	0,153	0,34	0,316
NNS	0,23	0,665	0,553
all N	0,215	0,603	0,509
POS	0,281	0,643	0,563
PRP	0,067	0,527	0,472
{PRP\$}	-0,065	0,4	0,377
RB	0,063	0,527	0,337
RBR	0	0,143	0,375
RBS	0	0,375	0,143
RP	0,5	1,429	0,875
TO	0,154	0,696	0,461
VB	0,13	0,773	0,69
VBD	0,184	0,671	0,677
VBG	0,176	0,911	0,823
VBN	0,309	0,983	0,794
VBP	-0,169	0,675	0,578
VBZ	0,054	0,6	0,527
WDT	0,375	0,571	0,708
WP	0,125	0,786	0,125
WRB 	-0,75	0	0
