P	TfS	PE	MPE
CC	1,046	0,338	0,279
CD	1,084	0,307	0,293
DT	0,989	0,389	0,33
IN	1,027	0,451	0,338
JJ	1,023	0,494	0,364
JJR	0,875	0,516	0,419
JJS	1,174	0,391	0,136
MD	0,971	0,714	0,687
NN	1,229	0,657	0,553
NNP	1,153	0,34	0,316
NNS	1,23	0,665	0,553
all N	1,215	0,603	0,509
POS	1,281	0,643	0,563
PRP	1,067	0,527	0,472
{PRP\$}	0,935	0,4	0,377
RB	1,063	0,527	0,337
RBR	1	0,143	0,375
RBS	1	0,375	0,143
RP	1,5	1,429	0,875
TO	1,154	0,696	0,461
VB	1,13	0,773	0,69
VBD	1,184	0,671	0,677
VBG	1,176	0,911	0,823
VBN	1,309	0,983	0,794
VBP	0,831	0,675	0,578
VBZ	1,054	0,6	0,527
WDT	1,375	0,571	0,708
WP	1,125	0,786	0,125
WRB    	0,25	0	0
