P	TfS	PE	MPE
CC	1,869	0,75	0,677
CD	1,334	0,363	0,687
DT	1,071	0,453	0,388
IN	0,931	0,365	0,254
JJ	0,966	0,285	0,395
JJR	0,864	0,392	0,151
JJS	1,403	0,376	0,12
MD	1,143	0,655	0,661
NN	1,037	0,505	0,458
NNP	1,059	0,252	0,297
NNS	1,247	0,665	0,421
all N	1,105	0,508	0,416
POS	1,969	0,526	0,479
PRP	1,486	1,481	0,654
{PRP\$}	1,209	0,487	0,53
RB	1,032	0,527	0,397
RBR	1	0,229	0,55
RBS	0,25	0	0
RP	0,966	1,176	0,675
TO	1,074	0,522	0,375
VB	0,944	0,733	0,486
VBD	0,947	0,616	0,448
VBG	0,852	0,635	0,443
VBN	1,019	1,031	0,709
VBP	0,661	0,514	0,47
VBZ	0,924	0,532	0,467
WDT	2,798	0,318	1,042
WP	3,037	2,691	0,072
WRB	0,125	0	0
